Problem:    Magazzini
Rows:       101
Columns:    71 (70 integer, 70 binary)
Non-zeros:  406
Status:     INTEGER OPTIMAL
Objective:  z = 630 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
                    *              1             0             1 
    34 x[Digione,Limoges]
                    *              0             0             1 
    35 x[Parigi,Limoges]
                    *              0             0             1 
    36 x[Tolosa,Digione]
                    *              0             0             1 
    37 x[Nizza,Digione]
                    *              0             0             1 
    38 x[Marsiglia,Digione]
                    *              0             0             1 
    39 x[Lione,Digione]
                    *              0             0             1 
    40 x[Limoges,Digione]
                    *              0             0             1 
    41 x[Digione,Digione]
                    *              1             0             1 
    42 x[Parigi,Digione]
                    *              0             0             1 
    43 x[Tolosa,Orleans]
                    *              0             0             1 
    44 x[Nizza,Orleans]
                    *              0             0             1 
    45 x[Marsiglia,Orleans]
                    *              0             0             1 
    46 x[Lione,Orleans]
                    *              0             0             1 
    47 x[Limoges,Orleans]
                    *              0             0             1 
    48 x[Digione,Orleans]
                    *              0             0             1 
    49 x[Parigi,Orleans]
                    *              1             0             1 
    50 x[Tolosa,Parigi]
                    *              0             0             1 
    51 x[Nizza,Parigi]
                    *              0             0             1 
    52 x[Marsiglia,Parigi]
                    *              0             0             1 
    53 x[Lione,Parigi]
                    *              0             0             1 
    54 x[Limoges,Parigi]
                    *              0             0             1 
    55 x[Digione,Parigi]
                    *              0             0             1 
    56 x[Parigi,Parigi]
                    *              1             0             1 
    57 x[Tolosa,Lille]
                    *              0             0             1 
    58 x[Nizza,Lille]
                    *              0             0             1 
    59 x[Marsiglia,Lille]
                    *              0             0             1 
    60 x[Lione,Lille]
                    *              0             0             1 
    61 x[Limoges,Lille]
                    *              0             0             1 
    62 x[Digione,Lille]
                    *              0             0             1 
    63 x[Parigi,Lille]
                    *              1             0             1 
    64 x[Tolosa,Nantes]
                    *              0             0             1 
    65 x[Nizza,Nantes]
                    *              0             0             1 
    66 x[Marsiglia,Nantes]
                    *              0             0             1 
    67 x[Lione,Nantes]
                    *              0             0             1 
    68 x[Limoges,Nantes]
                    *              1             0             1 
    69 x[Digione,Nantes]
                    *              0             0             1 
    70 x[Parigi,Nantes]
                    *              0             0             1 
    71 maxDistanza               293             0               

Integer feasibility conditions:

KKT.PE: max.abs.err = 0.00e+000 on row 0
        max.rel.err = 0.00e+000 on row 0
        High quality

KKT.PB: max.abs.err = 0.00e+000 on row 0
        max.rel.err = 0.00e+000 on row 0
        High quality

End of output
