Problem:    PLI0362
Rows:       365
Columns:    49 (49 integer, 49 binary)
Non-zeros:  1099
Status:     INTEGER OPTIMAL
Objective:  z = 662 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 completo[1,2]
                                   1             1               
     2 completo[1,3]
                                   1             1               
     3 completo[1,4]
                                   1             1               
     4 completo[1,5]
                                   1             1               
     5 completo[1,6]
                                   1             1               
     6 completo[1,7]
                                   1             1               
     7 completo[2,3]
                                   1             1               
     8 completo[2,4]
                                   1             1               
     9 completo[2,5]
                                   1             1               
    10 completo[2,6]
                                   1             1               
    11 completo[2,7]
                                   1             1               
    12 completo[3,4]
                                   1             1               
    13 completo[3,5]
                                   1             1               
    14 completo[3,6]
                                   1             1               
    15 completo[3,7]
                                   1             1               
    16 completo[4,5]
                                   1             1               
    17 completo[4,6]
                                   1             1               
    18 completo[4,7]
                                   1             1               
    19 completo[5,6]
                                   1             1               
    20 completo[5,7]
                                   1             1               
    21 completo[6,7]
                                   1             1               
   154 ciclo[3,5,7]                1                           2 
   155 ciclo[3,6,1]                1                           2 
   156 ciclo[3,6,2]                2                           2 
   157 ciclo[3,6,3]                1                           2 
   158 ciclo[3,6,4]                1                           2 
   159 ciclo[3,6,5]                1                           2 
   160 ciclo[3,6,6]                1                           2 
   161 ciclo[3,6,7]                1                           2 
   162 ciclo[3,7,1]                1                           2 
   163 ciclo[3,7,2]                2                           2 
   164 ciclo[3,7,3]                1                           2 
   165 ciclo[3,7,4]                2                           2 
   166 ciclo[3,7,5]                2                           2 
   167 ciclo[3,7,6]                2                           2 
   168 ciclo[3,7,7]                1                           2 
   169 ciclo[4,1,1]                1                           2 
   170 ciclo[4,1,2]                1                           2 
   171 ciclo[4,1,3]                1                           2 
   172 ciclo[4,1,4]                1                           2 
   173 ciclo[4,1,5]                1                           2 
   174 ciclo[4,1,6]                1                           2 
   175 ciclo[4,1,7]                2                           2 
   176 ciclo[4,2,1]                2                           2 
   177 ciclo[4,2,2]                1                           2 
   178 ciclo[4,2,3]                2                           2 
   179 ciclo[4,2,4]                1                           2 
   180 ciclo[4,2,5]                1                           2 
   181 ciclo[4,2,6]                1                           2 
   182 ciclo[4,2,7]                2                           2 
   183 ciclo[4,3,1]                2                           2 
   184 ciclo[4,3,2]                1                           2 
   185 ciclo[4,3,3]                1                           2 
   186 ciclo[4,3,4]                1                           2 
   187 ciclo[4,3,5]                1                           2 
   188 ciclo[4,3,6]                1                           2 
   189 ciclo[4,3,7]                2                           2 
   190 ciclo[4,4,1]                1                           2 
   191 ciclo[4,4,2]                1                           2 
   192 ciclo[4,4,3]                1                           2 
   193 ciclo[4,4,4]                0                           2 
   194 ciclo[4,4,5]                1                           2 
   195 ciclo[4,4,6]                1                           2 
   196 ciclo[4,4,7]                1                           2 
   197 ciclo[4,5,1]                2                           2 
   198 ciclo[4,5,2]                2                           2 
   199 ciclo[4,5,3]                2                           2 
   200 ciclo[4,5,4]                1                           2 
   201 ciclo[4,5,5]                1                           2 
   202 ciclo[4,5,6]                2                           2 
   203 ciclo[4,5,7]                2                           2 
   204 ciclo[4,6,1]                2                           2 
   205 ciclo[4,6,2]                2                           2 
   206 ciclo[4,6,3]                2                           2 
   207 ciclo[4,6,4]                1                           2 
   208 ciclo[4,6,5]                1                           2 
   209 ciclo[4,6,6]                1                           2 
   210 ciclo[4,6,7]                2                           2 
   211 ciclo[4,7,1]                1                           2 
   212 ciclo[4,7,2]                1                           2 
   213 ciclo[4,7,3]                1                           2 
   214 ciclo[4,7,4]                1                           2 
   215 ciclo[4,7,5]                1                           2 
   216 ciclo[4,7,6]                1                           2 
   217 ciclo[4,7,7]                1                           2 
   218 ciclo[5,1,1]                1                           2 
   219 ciclo[5,1,2]                1                           2 
   220 ciclo[5,1,3]                1                           2 
   221 ciclo[5,1,4]                2                           2 
   222 ciclo[5,1,5]                1                           2 
   223 ciclo[5,1,6]                1                           2 
   224 ciclo[5,1,7]                2                           2 
   225 ciclo[5,2,1]                2                           2 
   226 ciclo[5,2,2]                1                           2 
   227 ciclo[5,2,3]                2                           2 
   228 ciclo[5,2,4]                2                           2 
   229 ciclo[5,2,5]                1                           2 
   230 ciclo[5,2,6]                1                           2 
   231 ciclo[5,2,7]                2                           2 
   232 ciclo[5,3,1]                2                           2 
   233 ciclo[5,3,2]                1                           2 
   234 ciclo[5,3,3]                1                           2 
   235 ciclo[5,3,4]                2                           2 
   236 ciclo[5,3,5]                1                           2 
   237 ciclo[5,3,6]                1                           2 
   238 ciclo[5,3,7]                2                           2 
   239 ciclo[5,4,1]                1                           2 
   240 ciclo[5,4,2]                1                           2 
   241 ciclo[5,4,3]                1                           2 
   242 ciclo[5,4,4]                1                           2 
   243 ciclo[5,4,5]                1                           2 
   244 ciclo[5,4,6]                1                           2 
   245 ciclo[5,4,7]                1                           2 
   246 ciclo[5,5,1]                1                           2 
   247 ciclo[5,5,2]                1                           2 
   248 ciclo[5,5,3]                1                           2 
   249 ciclo[5,5,4]                1                           2 
   250 ciclo[5,5,5]                0                           2 
   251 ciclo[5,5,6]                1                           2 
   252 ciclo[5,5,7]                1                           2 
   253 ciclo[5,6,1]                2                           2 
   254 ciclo[5,6,2]                2                           2 
   255 ciclo[5,6,3]                2                           2 
   256 ciclo[5,6,4]                2                           2 
   257 ciclo[5,6,5]                1                           2 
   258 ciclo[5,6,6]                1                           2 
   259 ciclo[5,6,7]                2                           2 
   260 ciclo[5,7,1]                1                           2 
   261 ciclo[5,7,2]                1                           2 
   262 ciclo[5,7,3]                1                           2 
   263 ciclo[5,7,4]                2                           2 
   264 ciclo[5,7,5]                1                           2 
   265 ciclo[5,7,6]                1                           2 
   266 ciclo[5,7,7]                1                           2 
   267 ciclo[6,1,1]                1                           2 
   268 ciclo[6,1,2]                1                           2 
   269 ciclo[6,1,3]                1                           2 
   270 ciclo[6,1,4]                2                           2 
   271 ciclo[6,1,5]                2                           2 
   272 ciclo[6,1,6]                1                           2 
   273 ciclo[6,1,7]                2                           2 
   274 ciclo[6,2,1]                2                           2 
   275 ciclo[6,2,2]                1                           2 
   276 ciclo[6,2,3]                2                           2 
   277 ciclo[6,2,4]                2                           2 
   278 ciclo[6,2,5]                2                           2 
   279 ciclo[6,2,6]                1                           2 
   280 ciclo[6,2,7]                2                           2 
   281 ciclo[6,3,1]                2                           2 
   282 ciclo[6,3,2]                1                           2 
   283 ciclo[6,3,3]                1                           2 
   284 ciclo[6,3,4]                2                           2 
   285 ciclo[6,3,5]                2                           2 
   286 ciclo[6,3,6]                1                           2 
   287 ciclo[6,3,7]                2                           2 
   288 ciclo[6,4,1]                1                           2 
   289 ciclo[6,4,2]                1                           2 
   290 ciclo[6,4,3]                1                           2 
   291 ciclo[6,4,4]                1                           2 
   292 ciclo[6,4,5]                2                           2 
   293 ciclo[6,4,6]                1                           2 
   294 ciclo[6,4,7]                1                           2 
   295 ciclo[6,5,1]                1                           2 
   296 ciclo[6,5,2]                1                           2 
   297 ciclo[6,5,3]                1                           2 
   298 ciclo[6,5,4]                1                           2 
   299 ciclo[6,5,5]                1                           2 
   300 ciclo[6,5,6]                1                           2 
   301 ciclo[6,5,7]                1                           2 
   302 ciclo[6,6,1]                1                           2 
   303 ciclo[6,6,2]                1                           2 
   304 ciclo[6,6,3]                1                           2 
   305 ciclo[6,6,4]                1                           2 
   306 ciclo[6,6,5]                1                           2 
   307 ciclo[6,6,6]                0                           2 
   308 ciclo[6,6,7]                1                           2 
   309 ciclo[6,7,1]                1                           2 
   310 ciclo[6,7,2]                1                           2 
   311 ciclo[6,7,3]                1                           2 
   312 ciclo[6,7,4]                2                           2 
   313 ciclo[6,7,5]                2                           2 
   314 ciclo[6,7,6]                1                           2 
   315 ciclo[6,7,7]                1                           2 
   316 ciclo[7,1,1]                1                           2 
   317 ciclo[7,1,2]                1                           2 
   318 ciclo[7,1,3]                1                           2 
   319 ciclo[7,1,4]                1                           2 
   320 ciclo[7,1,5]                1                           2 
   321 ciclo[7,1,6]                1                           2 
   322 ciclo[7,1,7]                1                           2 
   323 ciclo[7,2,1]                2                           2 
   324 ciclo[7,2,2]                1                           2 
   325 ciclo[7,2,3]                2                           2 
   326 ciclo[7,2,4]                1                           2 
   327 ciclo[7,2,5]                1                           2 
   328 ciclo[7,2,6]                1                           2 
   329 ciclo[7,2,7]                1                           2 
   330 ciclo[7,3,1]                2                           2 
   331 ciclo[7,3,2]                1                           2 
   332 ciclo[7,3,3]                1                           2 
   333 ciclo[7,3,4]                1                           2 
   334 ciclo[7,3,5]                1                           2 
   335 ciclo[7,3,6]                1                           2 
   336 ciclo[7,3,7]                1                           2 
   337 ciclo[7,4,1]                2                           2 
   338 ciclo[7,4,2]                2                           2 
   339 ciclo[7,4,3]                2                           2 
   340 ciclo[7,4,4]                1                           2 
   341 ciclo[7,4,5]                2                           2 
   342 ciclo[7,4,6]                2                           2 
   343 ciclo[7,4,7]                1                           2 
   344 ciclo[7,5,1]                2                           2 
   345 ciclo[7,5,2]                2                           2 
   346 ciclo[7,5,3]                2                           2 
   347 ciclo[7,5,4]                1                           2 
   348 ciclo[7,5,5]                1                           2 
   349 ciclo[7,5,6]                2                           2 
   350 ciclo[7,5,7]                1                           2 
   351 ciclo[7,6,1]                2                           2 
   352 ciclo[7,6,2]                2                           2 
   353 ciclo[7,6,3]                2                           2 
   354 ciclo[7,6,4]                1                           2 
   355 ciclo[7,6,5]                1                           2 
   356 ciclo[7,6,6]                1                           2 
   357 ciclo[7,6,7]                1                           2 
   358 ciclo[7,7,1]                1                           2 
   359 ciclo[7,7,2]                1                           2 
   360 ciclo[7,7,3]                1                           2 
   361 ciclo[7,7,4]                1                           2 
   362 ciclo[7,7,5]                1                           2 
   363 ciclo[7,7,6]                1                           2 
   364 ciclo[7,7,7]                0                           2 
   365 z                         662                             

   No. Column name       Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 x[2,1]       *              0             0             1 
     2 x[1,2]       *              1             0             1 
     3 x[3,1]       *              1             0             1 
     4 x[1,3]       *              0             0             1 
     5 x[4,1]       *              0             0             1 
     6 x[1,4]       *              1             0             1 
     7 x[5,1]       *              0             0             1 
     8 x[1,5]       *              1             0             1 
     9 x[6,1]       *              0             0             1 
    10 x[1,6]       *              1             0             1 
    11 x[7,1]       *              0             0             1 
    12 x[1,7]       *              1             0             1 
    13 x[3,2]       *              1             0             1 
    14 x[2,3]       *              0             0             1 
    15 x[4,2]       *              1             0             1 
    16 x[2,4]       *              0             0             1 
    17 x[5,2]       *              1             0             1 
    18 x[2,5]       *              0             0             1 
    19 x[6,2]       *              1             0             1 
    20 x[2,6]       *              0             0             1 
    21 x[7,2]       *              1             0             1 
    22 x[2,7]       *              0             0             1 
    23 x[4,3]       *              0             0             1 
    24 x[3,4]       *              1             0             1 
    25 x[5,3]       *              0             0             1 
    26 x[3,5]       *              1             0             1 
    27 x[6,3]       *              0             0             1 
    28 x[3,6]       *              1             0             1 
    29 x[7,3]       *              0             0             1 
    30 x[3,7]       *              1             0             1 
    31 x[5,4]       *              0             0             1 
    32 x[4,5]       *              1             0             1 
    33 x[6,4]       *              0             0             1 
    34 x[4,6]       *              1             0             1 
    35 x[7,4]       *              1             0             1 
    36 x[4,7]       *              0             0             1 
    37 x[6,5]       *              0             0             1 
    38 x[5,6]       *              1             0             1 
    39 x[7,5]       *              1             0             1 
    40 x[5,7]       *              0             0             1 
    41 x[7,6]       *              1             0             1 
    42 x[6,7]       *              0             0             1 
    43 x[1,1]       *              0             0             1 
    44 x[2,2]       *              0             0             1 
    45 x[3,3]       *              0             0             1 
    46 x[4,4]       *              0             0             1 
    47 x[5,5]       *              0             0             1 
    48 x[6,6]       *              0             0             1 
    49 x[7,7]       *              0             0             1 

Integer feasibility conditions:

KKT.PE: max.abs.err = 0.00e+000 on row 0
        max.rel.err = 0.00e+000 on row 0
        High quality

KKT.PB: max.abs.err = 0.00e+000 on row 0
        max.rel.err = 0.00e+000 on row 0
        High quality

End of output
